state,district,ISI,RCS,ABS,mean_volume,cv,months_active,months_with_data,prop_5_17,prop_17_plus
Telangana,Bhadradri Kothagudem,0.2383,1.0,0.9928,2400.3333333333335,0.3682288070500897,9,9,0.5500162014535018,0.44998379854649817
Telangana,Hanumakonda,0.1517,1.0,0.728,1001.8888888888889,0.24328543230818683,9,9,0.20306088499500943,0.7969391150049906
Telangana,Hyderabad,0.3916,1.0,0.9796,25393.444444444445,0.24155439261511918,9,9,0.5837945926551472,0.4162054073448528
Telangana,Jagitial,0.1823,1.0,0.9599,1193.888888888889,0.29247450359226285,9,9,0.6174034434620754,0.3825965565379246
Telangana,Jangaon,0.1957,0.4444,0.9947,70.0,0.3346233541097308,4,4,0.45714285714285713,0.5428571428571428
Telangana,Jangoan,0.2897,1.0,0.9947,808.7777777777778,0.48332802816799264,9,9,0.5427943398818519,0.4572056601181481
Telangana,Jayashankar Bhupalpally,0.1307,1.0,0.9941,507.55555555555554,0.21567494563031855,9,9,0.4546847635726795,0.5453152364273205
Telangana,Jogulamba Gadwal,0.1219,1.0,0.9974,1258.888888888889,0.18779119668432237,9,9,0.5300970873786408,0.46990291262135925
Telangana,K.v. Rangareddy,0.3642,1.0,0.9999,27620.11111111111,0.15689380590018537,9,9,0.49422924519573097,0.505770754804269
Telangana,Kamareddy,0.1963,1.0,0.9985,1693.4444444444443,0.308121062933652,9,9,0.5224722787218686,0.47752772127813137
Telangana,Karimnagar,0.2142,1.0,0.9999,15097.333333333334,0.1116604605186974,9,9,0.5046439400629986,0.4953560599370014
Telangana,Khammam,0.2077,1.0,0.8622,6907.777777777777,0.2392887451455473,9,9,0.7149911532893679,0.28500884671063215
Telangana,Komaram Bheem,0.138,1.0,0.9997,1075.2222222222222,0.21858211610867226,9,9,0.5094554097344218,0.4905445902655782
Telangana,Mahabubabad,0.1505,1.0,0.9806,1131.111111111111,0.23905117275367666,9,9,0.581728880157171,0.41827111984282905
Telangana,Mahabubnagar,0.299,1.0,0.9962,21672.11111111111,0.1457879192436077,9,9,0.5363421499213018,0.4636578500786982
Telangana,Mancherial,0.2009,1.0,0.9791,1378.7777777777778,0.3213319586434913,9,9,0.5848980578612297,0.4151019421387703
Telangana,Medak,0.2632,1.0,0.9982,14074.0,0.21316055018158975,9,9,0.5246948668150885,0.4753051331849115
Telangana,Medchal-malkajgiri,0.1219,1.0,0.9949,3347.777777777778,0.15238954728786733,9,9,0.4580152671755725,0.5419847328244275
Telangana,Medchal?malkajgiri,1.0,0.3333,0.9848,285.3333333333333,1.7108057546802862,3,3,0.572429906542056,0.42757009345794394
Telangana,Medchal−malkajgiri,0.1207,0.4444,0.8091,1153.25,0.1874912011717734,4,4,0.7513548666811186,0.2486451333188814
Telangana,Mulugu,0.1813,1.0,0.9884,598.5555555555555,0.3008598067879034,9,9,0.43679227770558754,0.5632077222944125
Telangana,Nagarkurnool,0.1572,1.0,0.9819,1383.7777777777778,0.24622140534154358,9,9,0.5789304641079172,0.42106953589208285
Telangana,Nalgonda,0.2519,1.0,0.9812,15332.111111111111,0.17230384289669892,9,9,0.5806332388813601,0.4193667611186399
Telangana,Narayanpet,0.1949,1.0,0.9966,698.5555555555555,0.32261617406889825,9,9,0.4658819786861778,0.5341180213138221
Telangana,Nirmal,0.2616,1.0,0.9971,1480.4444444444443,0.42378224317826907,9,9,0.46832782948063645,0.5316721705193636
Telangana,Nizamabad,0.2381,1.0,0.9957,13021.777777777777,0.18792639177750034,9,9,0.5385337383528448,0.4614662616471552
Telangana,Peddapalli,0.17,1.0,0.9497,714.1111111111111,0.2796563211508571,9,9,0.36875680721954257,0.6312431927804575
Telangana,Rajanna Sircilla,0.1632,1.0,0.9953,898.3333333333334,0.2648227884510278,9,9,0.5401360544217687,0.4598639455782313
Telangana,Rangareddy,0.1734,1.0,0.899,309.55555555555554,0.2921810592383692,9,9,0.3151471643933956,0.6848528356066045
Telangana,Sangareddy,0.206,1.0,0.9471,2453.222222222222,0.31193585146357733,9,9,0.6346301915847637,0.3653698084152362
Telangana,Siddipet,0.3738,1.0,0.9584,1801.0,0.6108646640815932,9,9,0.6194706644456783,0.38052933555432167
Telangana,Suryapet,0.1264,1.0,0.9924,2232.5555555555557,0.17907336247304348,9,9,0.44866371373115016,0.5513362862688499
Telangana,Vikarabad,0.181,1.0,0.989,1580.3333333333333,0.28374762032068734,9,9,0.561555227448499,0.4384447725515011
Telangana,Wanaparthy,0.095,1.0,0.9975,1108.2222222222222,0.14420310681889237,9,9,0.47052336073791856,0.5294766392620814
Telangana,Warangal,0.1879,1.0,0.975,10178.888888888889,0.14998143024720503,9,9,0.5927846304988539,0.4072153695011462
Telangana,Warangal (urban),0.47,0.4444,0.9457,2.75,0.8063111936757619,4,4,0.36363636363636365,0.6363636363636364
Telangana,Warangal Rural,0.1881,1.0,0.9987,796.5555555555555,0.3092963511518431,9,9,0.5211326544845865,0.4788673455154136
Telangana,Warangal Urban,0.121,1.0,0.9952,953.6666666666666,0.19150378370782217,9,9,0.540953046720261,0.45904695327973905
Telangana,Yadadri.,0.1703,1.0,0.9953,1408.2222222222222,0.26835420932154763,9,9,0.5402398611330282,0.45976013886697176
Tripura,Dhalai,0.3367,1.0,0.9716,3885.3333333333335,0.5118507293485238,9,9,0.5989190116678106,0.4010809883321894
Tripura,Dhalai  *,0.228,1.0,0.8867,71.88888888888889,0.38988994696153767,9,9,0.3044822256568779,0.6955177743431221
Tripura,Gomati,0.3391,1.0,0.7226,1633.5555555555557,0.554149734414519,9,9,0.7996871173989933,0.20031288260100666
Tripura,Khowai,0.3313,1.0,0.7835,1018.4444444444445,0.5512072964622636,9,9,0.7668557713288239,0.2331442286711761
Tripura,North Tripura,0.2736,1.0,0.9996,5277.555555555556,0.37995264486089897,9,9,0.4879573876794812,0.5120426123205187
Tripura,Sepahijala,0.2944,1.0,0.8801,2180.5555555555557,0.46809543492780564,9,9,0.7009426751592357,0.2990573248407643
Tripura,South Tripura,0.3074,1.0,0.9695,6395.111111111111,0.41900005316957323,9,9,0.3975780109806102,0.6024219890193898
Tripura,Unakoti,0.436,1.0,0.8213,1748.111111111111,0.718405105002655,9,9,0.7435962626326829,0.2564037373673171
Tripura,West Tripura,0.3574,1.0,0.9656,10251.111111111111,0.4395511321105811,9,9,0.3912204639063516,0.6087795360936484
Uttar Pradesh,Agra,0.4303,1.0,0.9359,26116.444444444445,0.29569424143717266,9,9,0.6479867941867193,0.3520132058132807
Uttar Pradesh,Aligarh,0.3619,1.0,0.8519,22166.666666666668,0.24520022518846132,9,9,0.7226065162907268,0.2773934837092732
Uttar Pradesh,Allahabad,0.4425,1.0,0.8968,28767.777777777777,0.2717505242726084,9,9,0.6868294001776679,0.3131705998223321
